Kanton	Geschlecht	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
ZH	Frauen	 11.3	 11.4	 11.4	 12.3	 13.1	 13.3	 14.1	 13.6	 13.8	 15.0	 16.1	 15.7	 16.3	 16.4	 19.2	 18.6	 19.9	 19.5	 23.8	 26.1	 26.5	 26.4	 27.4	 29.3	 31.1	 34.0	 34.5	 34.6	 37.0	 33.4	 35.3	 36.9	 38.0	 40.5	 38.6	 39.7	 41.9
ZH	Männer	 13.6	 13.9	 14.8	 14.3	 14.2	 15.6	 15.1	 14.9	 14.9	 14.9	 14.7	 15.7	 16.6	 17.1	 16.4	 16.8	 17.6	 17.4	 28.0	 27.9	 27.0	 29.6	 28.8	 28.4	 27.0	 29.6	 29.5	 30.7	 30.7	 26.7	 28.6	 29.6	 31.1	 31.3	 32.5	 33.1	 32.3
BE	Frauen	 4.9	 5.8	 6.3	 6.5	 6.4	 6.7	 5.8	 7.0	 7.3	 7.5	 7.4	 7.7	 8.4	 10.2	 11.3	 11.9	 12.6	 13.0	 18.1	 19.1	 20.2	 24.4	 29.2	 30.7	 32.9	 33.7	 34.4	 34.3	 35.6	 36.0	 36.2	 35.8	 39.2	 38.7	 39.6	 40.2	 42.0
BE	Männer	 9.0	 8.6	 8.7	 9.0	 9.3	 9.6	 8.8	 9.4	 9.4	 9.6	 8.7	 10.4	 11.0	 11.8	 11.9	 13.2	 12.0	 12.9	 26.3	 25.8	 25.4	 27.0	 25.9	 29.0	 28.4	 28.4	 29.8	 28.6	 28.9	 30.0	 29.7	 31.6	 28.5	 30.5	 31.7	 30.7	 31.4
LU	Frauen	 3.7	 4.3	 5.3	 5.1	 4.6	 5.7	 5.8	 5.5	 5.7	 5.3	 6.1	 6.5	 7.0	 7.5	 8.1	 8.4	 9.2	 10.8	 19.9	 17.8	 19.2	 18.4	 19.5	 26.2	 24.6	 26.3	 27.5	 30.7	 31.8	 30.6	 35.1	 35.6	 37.8	 34.2	 36.8	 35.4	 37.9
LU	Männer	 7.8	 9.4	 9.4	 9.2	 10.2	 10.8	 10.2	 10.8	 8.6	 10.1	 8.3	 9.4	 12.7	 10.8	 10.9	 11.7	 10.9	 13.4	 25.7	 20.7	 22.6	 24.4	 25.8	 25.5	 23.3	 25.0	 26.8	 26.3	 26.7	 29.6	 29.7	 27.4	 31.0	 28.8	 29.5	 26.8	 27.6
UR	Frauen	 5.4	 3.2	 3.3	 5.6	 4.2	 6.6	 5.6	 5.4	 4.9	 4.6	 5.3	 6.4	 2.6	 8.1	 6.6	 4.7	 12.6	 11.8	 16.6	 12.0	 19.3	 18.9	 26.4	 15.8	 26.9	 32.8	 29.9	 37.2	 31.6	 28.7	 29.3	 27.8	 33.3	 34.6	 34.7	 30.1	 33.4
UR	Männer	 11.2	 10.9	 10.5	 7.3	 7.7	 9.4	 7.6	 10.5	 11.4	 6.7	 12.7	 9.3	 6.5	 15.0	 12.4	 10.3	 12.6	 14.7	 18.5	 27.0	 24.0	 21.7	 18.7	 29.8	 27.0	 31.2	 28.0	 22.5	 20.9	 24.7	 30.7	 23.8	 30.0	 30.2	 25.4	 30.0	 23.5
SZ	Frauen	 5.0	 4.4	 3.2	 6.4	 6.4	 6.8	 6.8	 5.5	 7.5	 7.3	 7.7	 7.3	 10.3	 8.3	 8.6	 9.5	 11.7	 12.2	 11.7	 15.3	 23.7	 20.6	 20.6	 24.3	 22.2	 23.6	 31.8	 28.7	 27.2	 31.9	 27.7	 33.7	 32.7	 35.5	 34.9	 36.0	 36.4
SZ	Männer	 6.7	 7.9	 7.4	 8.2	 8.5	 8.9	 9.1	 8.6	 9.4	 9.5	 9.3	 11.3	 9.0	 9.9	 10.4	 12.5	 12.0	 13.2	 18.7	 17.8	 19.4	 21.9	 21.7	 22.2	 24.5	 21.4	 21.0	 21.1	 24.1	 21.0	 23.4	 24.8	 25.9	 26.1	 28.5	 29.8	 24.8
OW	Frauen	 2.6	 3.1	 10.9	 6.9	 7.8	 3.3	 7.0	 3.5	 8.0	 5.3	 6.1	 6.2	 7.8	 4.4	 9.1	 7.3	 7.1	 10.6	 20.8	 17.7	 15.8	 22.7	 21.6	 28.8	 26.2	 27.1	 30.3	 22.2	 32.1	 32.7	 30.2	 38.1	 31.2	 43.6	 33.1	 40.7	 25.4
OW	Männer	 9.0	 7.7	 2.2	 9.4	 5.1	 6.3	 7.1	 5.3	 9.6	 5.9	 4.8	 7.6	 12.0	 13.1	 10.8	 7.7	 11.7	 13.7	 21.5	 17.5	 9.9	 14.2	 18.8	 22.3	 21.2	 21.9	 21.0	 19.1	 27.4	 21.9	 30.5	 25.1	 25.8	 24.7	 31.6	 27.3	 21.2
NW	Frauen	 4.5	 3.7	 9.3	 3.3	 6.9	 8.2	 9.6	 9.3	 6.7	 5.6	 10.0	 7.7	 8.5	 8.8	 8.7	 11.7	 12.8	 7.6	 28.0	 15.0	 18.8	 24.6	 22.0	 29.4	 30.0	 31.5	 33.8	 33.5	 31.8	 31.5	 37.7	 29.8	 40.7	 37.6	 38.3	 35.3	 37.1
NW	Männer	 6.5	 9.8	 6.1	 5.5	 8.9	 9.6	 10.5	 9.7	 12.1	 7.6	 10.0	 12.9	 12.0	 8.7	 12.7	 15.7	 11.1	 12.7	 30.5	 21.6	 21.4	 19.3	 23.2	 22.0	 22.8	 30.3	 27.5	 26.1	 29.3	 31.5	 30.5	 30.5	 27.2	 39.4	 33.1	 27.8	 30.6
GL	Frauen	 8.6	 5.0	 9.2	 5.6	 7.7	 7.8	 8.3	 9.3	 15.8	 8.3	 7.1	 9.2	 8.6	 8.6	 19.8	 15.5	 12.7	 16.1	 26.9	 22.0	 19.9	 22.7	 22.5	 23.0	 26.6	 22.6	 18.3	 27.6	 24.8	 20.3	 27.9	 29.7	 31.3	 35.7	 38.6	 31.4	 35.4
GL	Männer	 11.9	 9.2	 12.4	 11.4	 7.0	 10.2	 7.1	 8.6	 6.6	 6.5	 9.5	 7.3	 6.1	 12.3	 12.4	 13.6	 10.9	 13.1	 16.6	 23.2	 24.2	 23.8	 23.4	 19.2	 23.8	 19.5	 20.8	 25.3	 27.7	 24.1	 19.0	 21.3	 21.8	 21.0	 30.2	 22.8	 23.9
ZG	Frauen	 7.3	 8.0	 7.8	 9.8	 10.9	 3.2	 9.7	 11.2	 9.7	 13.0	 11.5	 9.9	 12.5	 11.7	 16.9	 12.2	 14.2	 15.7	 17.9	 19.6	 24.1	 27.3	 33.4	 28.2	 29.2	 32.6	 35.2	 31.7	 31.0	 35.1	 37.4	 52.6	 45.0	 41.3	 45.3	 45.9	 46.7
ZG	Männer	 14.1	 15.6	 16.6	 13.6	 17.2	 4.8	 13.0	 15.3	 13.7	 14.5	 11.9	 19.3	 16.4	 14.2	 18.6	 16.6	 16.5	 16.9	 26.6	 28.3	 24.2	 28.2	 33.6	 33.2	 36.5	 36.5	 31.9	 31.7	 30.1	 32.0	 35.8	 37.1	 37.4	 40.1	 39.0	 38.8	 36.7
FR	Frauen	 9.8	 9.7	 10.2	 8.7	 11.7	 12.8	 11.1	 10.9	 14.2	 13.3	 13.3	 13.8	 15.9	 16.2	 22.1	 23.1	 18.9	 22.9	 24.7	 28.9	 27.8	 31.1	 31.1	 34.9	 40.4	 37.8	 35.7	 32.1	 34.5	 37.1	 38.1	 48.4	 47.3	 49.5	 50.9	 50.4	 55.8
